rank,company,ceo,title,email,phone,location,revenue,employees,eos_score,industry
1,Black Hills Steel & Pipe,Mike Johnson,CEO & President,mjohnson@bhsteel.com,(605) 343-2200,Rapid City SD,$45M,85,9.4,Steel Fabrication
2,Midwest Construction Services,Sarah Thompson,Owner & CEO,sthompson@midwestconstruction.com,(605) 334-5500,Sioux Falls SD,$28M,65,9.3,Commercial Construction
3,Midwest Food Processing,Steve Hansen,CEO,shansen@midwestfood.com,(605) 886-3300,Watertown SD,$38M,95,9.3,Food Processing
4,Missouri River Construction,Frank Davis,President,fdavis@missouririverconstruction.com,(605) 224-8800,Pierre SD,$34M,72,9.3,Heavy Construction
5,Prairie States Manufacturing,Bob Schmidt,President & Owner,bschmidt@prairiestatesmfg.com,(605) 256-3600,Madison SD,$21M,55,8.6,Custom Manufacturing
6,Heartland Healthcare Systems,Dr. Robert Williams,CEO & Medical Director,rwilliams@heartlandhealthcare.com,(605) 224-7100,Pierre SD,$32M,78,8.3,Healthcare
7,Dakota Agricultural Solutions,Tom Anderson,President,tanderson@dakotaagsolutions.com,(605) 692-8800,Brookings SD,$22M,48,7.8,Agricultural Services
8,Precision Manufacturing Inc,Dave Miller,CEO,dmiller@precisionmfg.com,(605) 225-3400,Aberdeen SD,$18M,42,7.7,Precision Machining
9,Badlands Engineering Group,Jennifer Clark,Principal Engineer & CEO,jclark@badlandseng.com,(605) 348-9200,Rapid City SD,$12M,32,7.7,Civil Engineering
10,Dakota Mechanical Contractors,Jim Nelson,Owner & President,jnelson@dakotamechanical.com,(605) 665-2200,Yankton SD,$16M,44,7.6,HVAC & Mechanical
11,Sioux Falls Steel Works,Robert Chen,Owner & President,rchen@siouxfallssteel.com,(605) 336-2200,Sioux Falls SD,$29M,67,8.5,Steel Manufacturing
12,Midwest Medical Equipment,Jennifer Williams,CEO,jwilliams@midwestmedequip.com,(605) 341-5500,Rapid City SD,$24M,52,8.4,Medical Equipment
13,Great Plains Construction Co,Michael Thompson,President,mthompson@gpconstructionco.com,(605) 773-8800,Pierre SD,$31M,74,8.3,General Construction
14,Dakota Energy Services,Lisa Hansen,CEO & Founder,lhansen@dakotaenergy.com,(605) 224-9200,Pierre SD,$26M,58,8.2,Energy Services
15,Black Hills Mining Solutions,David Schmidt,President,dschmidt@bhmining.com,(605) 578-3400,Lead SD,$33M,82,8.1,Mining Services
16,Midwest Dairy Processing,Sarah Miller,Owner & CEO,smiller@midwestdairy.com,(605) 886-7100,Watertown SD,$35M,89,8.0,Dairy Processing
17,Prairie States Logistics,Tom Nelson,CEO,tnelson@prairielogistics.com,(605) 996-2200,Mitchell SD,$22M,46,7.9,Transportation
18,Sioux Empire Manufacturing,Robert Anderson,President,randerson@siouxempiremfg.com,(605) 334-6500,Sioux Falls SD,$28M,63,7.8,Industrial Manufacturing
19,Dakota Financial Group,Jennifer Peterson,Managing Partner,jpeterson@dakotafinancial.com,(605) 341-9800,Rapid City SD,$12M,31,7.7,Financial Services
20,Great Plains Healthcare,Dr. Michael Johnson,CEO & Chief Medical Officer,mjohnson@gphealthcare.com,(605) 336-4400,Sioux Falls SD,$41M,96,7.6,Healthcare Services
21,Northern Plains Logistics,Jake Morrison,President & Owner,jmorrison@nplogistics.com,(605) 996-7500,Mitchell SD,$25M,52,7.3,Trucking & Logistics
22,Great Plains Technology Group,Lisa Chen,Founder & CEO,lchen@gptech.com,(605) 271-8900,Sioux Falls SD,$15M,35,7.3,Software Development
23,Great Plains Veterinary Services,Dr. Sarah Johnson,Practice Owner & DVM,sjohnson@gpvetservices.com,(605) 677-5200,Vermillion SD,$11M,28,7.3,Veterinary Services
24,Heartland IT Solutions,Kevin Thompson,CEO & Founder,kthompson@heartlandit.com,(605) 582-4100,Brandon SD,$9.8M,26,6.8,Managed IT Services
25,Black Hills Insurance Group,Richard Taylor,President,rtaylor@bhinsurance.com,(605) 642-7800,Spearfish SD,$14M,35,6.7,Commercial Insurance
26,Sioux Empire Marketing,Michelle Brown,CEO & Creative Director,mbrown@siouxempiremarketing.com,(605) 334-8900,Sioux Falls SD,$7.5M,22,6.7,Marketing Agency
27,Rushmore Hospitality Group,Daniel White,General Manager & Partner,dwhite@rushmorehospitality.com,(605) 666-4400,Keystone SD,$23M,125,6.7,Hotels & Restaurants
28,Prairie Wind Energy Solutions,Amy Rodriguez,CEO & Founder,arodriguez@prairiewindenergy.com,(605) 352-4500,Huron SD,$19M,38,6.3,Wind Energy Development
29,Summit Financial Advisors,Mark Peterson,Managing Partner,mpeterson@summitfinancialsd.com,(605) 341-2800,Rapid City SD,$8.5M,25,6.2,Wealth Management
30,Dakota Valley Distributors,Nancy Anderson,CEO & President,nanderson@dakotavalley.com,(605) 368-9500,Tea SD,$27M,48,6.2,Product Distribution
31,Midwest Systems,John Johnson,President,john.johnson@midwestsystems.com,(605) 641-8811,Pierre SD,$8M,40,6.1,Financial Services
32,Valley Services,Patricia Miller,President,patricia.miller@valleyservices.com,(605) 342-4738,Mitchell SD,$14M,32,5.9,Energy
33,Prairie Services,Chris Miller,President,chris.miller@prairieservices.com,(605) 642-3877,Watertown SD,$9M,40,6.9,Professional Services
